Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
CCM complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary): Homo sapiens  
Complex name: CCM signaling complex (CSC), often called the “CCM complex”  
Function: Stabilizes endothelial cell–cell junctions and vascular integrity by scaffolding Rap1‑ and Rho‑GTPase–dependent signaling pathways; modulates MAPK and MEKK3–KLF2/4 axes in vascular endothelium.  

Constituent proteins and their genes:  
  • KRIT1 (a.k.a. CCM1; Rap1‑GTP–interacting adaptor)  
    – Gene: KRIT1 (alias CCM1)  
  • CCM2 (malcavernin; scaffolding subunit linking KRIT1 to PDCD10)  
    – Gene: CCM2  
  • PDCD10 (programmed cell death protein 10; a.k.a. CCM3; STRIPAK–associated regulatory subunit)  
    – Gene: PDCD10  

Other organisms with clear orthologous CCM complexes:  
  – Mus musculus (mouse)  
  – Danio rerio (zebrafish)  
  – Xenopus laevis (frog)  
  – Gallus gallus (chicken)  

Self‑confidence score: 0.95  
  – Consistency across databases: 0.28/0.30  
  – Experimental support: 0.29/0.30  
  – Protein–gene mapping accuracy: 0.24/0.25  
  – Specificity to human: 0.14/0.15",,,
CCM complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CCM (Cerebral Cavernous Malformation) complex  
Organism: Human  

Complex Function:  
• Maintains vascular integrity in endothelial cells by stabilizing cell–cell junctions and regulating cytoskeletal dynamics.  
• Modulates RhoA/ROCK and Rap1 signaling to control endothelial barrier function and angiogenic sprouting.  
• Plays a role in lumen formation and response to shear stress in blood vessels.  

Proteins and Corresponding Genes:  
• KRIT1 (Krev interaction trapped 1) — gene: KRIT1  
• CCM2 (also called Malcavernin) — gene: CCM2  
• CCM3 (Programmed cell death protein 10, PDCD10) — gene: PDCD10  

Other Organisms (orthologous complexes documented):  
• Mouse (Mus musculus)  
• Zebrafish (Danio rerio)  
• Frog (Xenopus laevis)  
• Chicken (Gallus gallus)  

Self Confidence Score: 0.93",,,
CCM complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: KRIT1–CCM2–PDCD10 (CCM) complex  
Organism: Human  
Complex Function: The CCM complex stabilizes endothelial cell–cell junctions and regulates cytoskeletal dynamics in the cerebral vasculature. It suppresses RhoA–ROCK signaling to maintain vascular barrier integrity and normal lumen morphology; loss of any component leads to hyperpermeability and cerebral cavernous malformations.  
Proteins:  
- Krev interaction trapped protein 1 (KRIT1)  
- CCM2 scaffold protein (malcavernin)  
- Programmed cell death 10 (PDCD10, also called CCM3)  
Genes:  
- KRIT1  
- CCM2  
- PDCD10  
Other Organisms: Mouse, Drosophila melanogaster, Danio rerio (zebrafish)  
Self Confidence Score: 0.95",,,
mu-Calpain complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Human (Homo sapiens)

Complex Name:  
μ‑Calpain complex (also known as calpain‑1 complex)

Complex Function:  
• A Ca2+‑activated, non‑lysosomal cysteine protease.  
• Mediates limited proteolysis of various substrates, including cytoskeletal proteins and signaling molecules.  
• Involved in cytoskeletal remodeling, cell motility, cell cycle progression, and apoptosis.  

Constituent Proteins and Their Genes:  
1. Large (catalytic) subunit  
   – Protein: Calpain‑1, 80 kDa subunit  
   – Gene: CAPN1  
2. Small (regulatory) subunit  
   – Protein: Calpain small subunit 1 (also called CAPNS1 or calpain‑4), 28 kDa  
   – Gene: CAPNS1 (alias CAPN4)  

Other Organisms Where μ‑Calpain Complex Is Found:  
• Mus musculus (Mouse) – Capn1 & Capns1  
• Rattus norvegicus (Rat) – Capn1 & Capns1  
• Drosophila melanogaster – Calpain A (catalytic) & small subunit homolog  
• Caenorhabditis elegans – CLP‑1 (catalytic) & CLP‑4 (regulatory)  

Self‑Confidence Score: 0.94  
  – Consistency across sources (0.3): 0.28  
  – Supporting experimental data (0.3): 0.29  
  – Protein–gene mapping accuracy (0.25): 0.24  
  – Organism‑specific analysis (0.15): 0.13",,,
mu-Calpain complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: mu‑Calpain (Calpain‑1)  
Organism: Human  
Complex Function: A Ca2+-dependent, heterodimeric cysteine protease that modulates cytoskeletal remodeling, signal transduction, membrane fusion and cell motility by limited proteolysis of specific substrates.  
Proteins:  
- Calpain‑1 large subunit (80 kDa)  
- Calpain small subunit (28 kDa)  
Genes:  
- CAPN1 (large subunit)  
- CAPNS1 (also known as CAPN4, small regulatory subunit)  
Other Organisms: Mouse, Rat, Zebrafish, Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.96",,,
mu-Calpain complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: μ‑Calpain complex  
Organism: Human  

Complex Function:  
μ‑Calpain is a Ca2+‑dependent, non‑lysosomal cysteine protease that performs limited proteolysis of cytoskeletal and signaling proteins. It regulates processes such as cytoskeleton remodeling, cell adhesion and motility, signal transduction, and apoptosis in response to transient increases in intracellular Ca2+.

Proteins:  
- Calpain‑1 large subunit (80 kDa catalytic subunit)  
- Calpain small subunit 1 (28 kDa regulatory subunit)  

Genes:  
- CAPN1 (encodes the 80 kDa catalytic subunit, historically μ‑calpain)  
- CAPNS1 (also known as CAPN4; encodes the 28 kDa regulatory subunit)  

Other Organisms:  
This heterodimeric μ‑calpain complex is conserved across vertebrates, notably in Mouse (Mus musculus), Rat (Rattus norvegicus) and Cow (Bos taurus).

Self Confidence Score: 0.95",,,
GINS complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae (budding yeast)

Complex name:  
GINS complex

Function:  
• Essential component of the replicative helicase (CMG complex: Cdc45–MCM–GINS).  
• Required for origin firing, replisome assembly and fork progression during S phase.

Protein components and their genes:  
• Sld5 (encoded by SLD5)  
• Psf1 (encoded by PSF1)  
• Psf2 (encoded by PSF2)  
• Psf3 (encoded by PSF3)

Other organisms in which a homologous GINS complex is found (i.e. the complex architecture and function are conserved):  
• Homo sapiens (GINS1–4)  
• Mus musculus  
• Caenorhabditis elegans  
• Drosophila melanogaster

Self‑confidence score: 0.95",,,
GINS complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: GINS complex  
Organism: Saccharomyces cerevisiae  
Complex Function: A four‐subunit replication factor required for both initiation and elongation phases of DNA replication. GINS associates with Cdc45 and the MCM2–7 helicase to form the CMG holo‐helicase, promoting origin firing and replication‐fork progression.  
Proteins:  
 • Sld5  
 • Psf1  
 • Psf2  
 • Psf3  
Genes:  
 • SLD5  
 • PSF1  
 • PSF2  
 • PSF3  
Other Organisms: Found universally across eukaryotes, including Human (GINS1–4), Mouse, Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.98",,,
GINS complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: GINS complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Essential component of the eukaryotic replicative helicase; promotes origin firing and replication‐fork progression by stabilizing the Cdc45–MCM2‑7 helicase (CMG) and facilitating DNA strand separation during S phase.  
Proteins:  
- Sld5  
- Psf1  
- Psf2  
- Psf3  

Genes:  
- SLD5  
- PSF1  
- PSF2  
- PSF3  

Other Organisms: Human, Mouse, Drosophila melanogaster, Caenorhabditis elegans (conserved across eukaryotes)  

Self Confidence Score: 0.98",,,
CMG helicase complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
  Saccharomyces cerevisiae (budding yeast)  

Complex Name  
  Cdc45–MCM–GINS (CMG) helicase complex  

Function  
  Acts as the core replicative helicase:  
  • Unwinds parental DNA duplexes at replication origins and replication forks  
  • Couples with DNA polymerases for processive leading‑ and lagging‑strand synthesis  

Constituent Proteins and Corresponding Genes  
  1. Cdc45  
     – Protein: Cdc45  
     – Gene: CDC45  
  2. Mcm2–7 hexamer  
     – Proteins: Mcm2, Mcm3, Mcm4, Mcm5, Mcm6, Mcm7  
     – Genes: MCM2, MCM3, MCM4, MCM5, MCM6, MCM7  
  3. GINS tetramer  
     – Proteins: Sld5, Psf1, Psf2, Psf3  
     – Genes: SLD5, PSF1, PSF2, PSF3  

Other Eukaryotes in Which CMG Has Been Characterized  
  • Human (orthologs CDC45, MCM2–7, GINS1–4)  
  • Mouse  
  • Drosophila melanogaster  
  • Caenorhabditis elegans  

Self‑Confidence Score  
  0.93  
  (Weighted assessment: database consistency 0.30, experimental support 0.30, protein‑gene mapping accuracy 0.25, organism specificity 0.15)",,,
CMG helicase complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CMG (Cdc45–Mcm2‐7–GINS) helicase complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
Serves as the eukaryotic replicative DNA helicase. Upon origin firing, CMG unwinds double‑stranded DNA at replication forks in an ATP‑dependent manner, coordinating leading‑ and lagging‑strand synthesis.  

Proteins (subunits of the complex) and their Genes:  
1. Cdc45 (Gene: CDC45)  
2. Mcm2 (Gene: MCM2)  
3. Mcm3 (Gene: MCM3)  
4. Mcm4 (Gene: MCM4)  
5. Mcm5 (Gene: MCM5)  
6. Mcm6 (Gene: MCM6)  
7. Mcm7 (Gene: MCM7)  
8. Sld5 (GINS subunit; Gene: SLD5)  
9. Psf1 (GINS subunit; Gene: PSF1)  
10. Psf2 (GINS subunit; Gene: PSF2)  
11. Psf3 (GINS subunit; Gene: PSF3)  

Other Organisms (where CMG is conserved):  
Homo sapiens, Mus musculus, Drosophila melanogaster, Caenorhabditis elegans  

Self Confidence Score: 0.97",,,
CMG helicase complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CMG helicase complex  
Organism: Saccharomyces cerevisiae  
Complex Function: The CMG helicase is the core replicative helicase in eukaryotes. In S. cerevisiae it unwinds duplex DNA at replication forks in an ATP‑dependent manner, forming the central motor of the replisome.  
Proteins (11 total):  
  • Cdc45  
  • Mcm2  
  • Mcm3  
  • Mcm4  
  • Mcm5  
  • Mcm6  
  • Mcm7  
  • Sld5 (GINS subunit)  
  • Psf1 (GINS subunit)  
  • Psf2 (GINS subunit)  
  • Psf3 (GINS subunit)  
Genes:  
  • CDC45  
  • MCM2  
  • MCM3  
  • MCM4  
  • MCM5  
  • MCM6  
  • MCM7  
  • SLD5  
  • PSF1  
  • PSF2  
  • PSF3  
Other Organisms: Human (Homo sapiens), Mouse (Mus musculus), Caenorhabditis elegans, Drosophila melanogaster  
Self Confidence Score: 0.93",,,
20S mitochondrial small ribosomal subunit,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens

Complex name:  
  Mitochondrial small ribosomal subunit (often referred to as the 28S mitoribosomal SSU; occasionally mis‐annotated as “20S” in older literature)

Complex function:  
  – Decoding of mitochondrial mRNAs and incorporation of aminoacyl‐tRNAs during synthesis of the 13 polypeptides encoded by mtDNA  
  – Forms the P‑ and A‑site for tRNA positioning, cooperates with the large (39S) mitoribosomal subunit to catalyze peptide‐bond formation

Subunit composition (protein name → gene symbol):  
  1. MRPS2 → MRPS2  
  2. MRPS5 → MRPS5  
  3. MRPS7 → MRPS7  
  4. MRPS9 → MRPS9  
  5. MRPS10 → MRPS10  
  6. MRPS11 → MRPS11  
  7. MRPS12 → MRPS12  
  8. MRPS14 → MRPS14  
  9. MRPS16 → MRPS16  
 10. MRPS17 → MRPS17  
 11. MRPS18A → MRPS18A  
 12. MRPS18B → MRPS18B  
 13. MRPS18C → MRPS18C  
 14. MRPS21 → MRPS21  
 15. MRPS22 → MRPS22  
 16. MRPS23 → MRPS23  
 17. MRPS24 → MRPS24  
 18. MRPS25 → MRPS25  
 19. MRPS26 → MRPS26  
 20. MRPS27 → MRPS27  
 21. MRPS28 → MRPS28  
 22. MRPS29 → DAP3 (historically MRPS29)  

Other assembly/stability factors occasionally co‐purifying but not core:  
  – ERAL1 (GTPase chaperone for 12S rRNA folding)  
  – FASTKD2 (involved in mt‐ribosome biogenesis)

Other organisms in which an orthologous mitochondrial SSU is found:  
  – Mus musculus (mouse)  
  – Drosophila melanogaster  
  – Caenorhabditis elegans  
  – Saccharomyces cerevisiae (where the SSU is termed 37S and comprises yeast‐specific mitoribosomal proteins)

Self‐confidence score: 0.87  
  – Consistency across databases (UniProt, MitoCarta, EM structures): high (0.3/0.3)  
  – Supporting experimental data (cryo‐EM reconstructions of the human mitoribosome): strong (0.3/0.3)  
  – Protein → gene mappings (UniProt annotations): accurate (0.225/0.25)  
  – Specificity to human (complex most extensively characterized in H. sapiens): solid (0.135/0.15)",,,
20S mitochondrial small ribosomal subunit,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: 20S (28S) mitochondrial small ribosomal subunit  
Organism: Homo sapiens  

Complex Function:  
• Decodes mitochondrial mRNAs and catalyzes peptide‐bond formation during synthesis of the 13 mitochondrially encoded respiratory‐chain polypeptides. It binds mt‐mRNA and tRNAs, providing the framework for initiation, elongation and termination within the mitochondrial matrix.  

Proteins and Corresponding Genes (Human):  
• uS2m / MRPS2 (MRPS2)  
• uS3m / MRPS3 (MRPS3)  
• uS5m / MRPS5 (MRPS5)  
• bS6m / MRPS6 (MRPS6)  
• bS7m / MRPS7 (MRPS7)  
• mS8   / MRPS8 (MRPS8)  
• uS9m / MRPS9 (MRPS9)  
• uS10m / MRPS10 (MRPS10)  
• uS11m / MRPS11 (MRPS11)  
• bS12m / MRPS12 (MRPS12)  
• mS13  / MRPS13 (MRPS13)  
• uS14m / MRPS14 (MRPS14)  
• mS15  / MRPS15 (MRPS15)  
• mS16  / MRPS16 (MRPS16)  
• mS17  / MRPS17 (MRPS17)  
• mS18a / MRPS18A (MRPS18A)  
• mS18b / MRPS18B (MRPS18B)  
• mS18c / MRPS18C (MRPS18C)  
• mS19  / MRPS19 (MRPS19)  
• mS21  / MRPS21 (MRPS21)  
• mS22  / MRPS22 (MRPS22)  
• mS23  / MRPS23 (MRPS23)  
• mS24  / MRPS24 (MRPS24)  
• mS25  / MRPS25 (MRPS25)  
• mS26  / MRPS26 (MRPS26)  
• mS27  / MRPS27 (MRPS27)  
• mS28  / MRPS28 (MRPS28)  
• mS29  / MRPS29 (MRPS29)  
• mS30  / MRPS30 (MRPS30)  

Other Organisms:  
• Mus musculus (mouse)  
• Drosophila melanogaster  
• Caenorhabditis elegans  
• Saccharomyces cerevisiae  

Self Confidence Score: 0.89",,,
20S mitochondrial small ribosomal subunit,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: 20S mitochondrial small ribosomal subunit  
Organism: Human  
Other Organisms: Mus musculus, Drosophila melanogaster, Caenorhabditis elegans, Saccharomyces cerevisiae  

Complex Function:  
The mitochondrial small ribosomal subunit (mt‑SSU) binds mitochondrial mRNAs and initiates and decodes polypeptide synthesis within the organelle. In human mitochondria it is commonly referred to as the 28S subunit, although older sedimentation-based nomenclature sometimes labels it “20S.”  

Proteins (with corresponding gene names):  
1. uS1m – MRPS1  
2. uS2m – MRPS2  
3. uS3m – MRPS3  
4. uS5m – MRPS5  
5. mS6   – MRPS6  
6. uS7m – MRPS7  
7. mS9   – MRPS9  
8. uS10m– MRPS10  
9. uS11m– MRPS11  
10. uS12m– MRPS12  
11. mS14  – MRPS14  
12. mS15  – MRPS15  
13. uS16m– MRPS16  
14. mS18a – MRPS18A  
15. mS18b – MRPS18B  
16. mS18c – MRPS18C  
17. mS21  – MRPS21  
18. mS22  – MRPS22  
19. mS23  – MRPS23  
20. mS24  – MRPS24  
21. mS25  – MRPS25  
22. mS26  – MRPS26  
23. mS27  – MRPS27  
24. mS28  – MRPS28  
25. uS29m– MRPS29  
26. mS30  – MRPS30  
27. mS31  – MRPS31  
28. mS33  – MRPS33  
29. mS34  – MRPS34  

Self Confidence Score: 0.88",,,
Cardiac troponin complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
  Homo sapiens (Human)

Complex Name  
  Cardiac troponin complex (cTn)

Function  
  Regulates Ca2+-dependent interaction between actin and myosin in cardiac sarcomeres, thereby controlling the force and timing of heart muscle contraction and relaxation.

Constituent Proteins and Corresponding Genes  
  • Cardiac troponin C (cTnC)  
    – Protein: TNNC1  
    – Gene: TNNC1  
  • Cardiac troponin I (cTnI)  
    – Protein: TNNI3  
    – Gene: TNNI3  
  • Cardiac troponin T (cTnT)  
    – Protein: TNNT2  
    – Gene: TNNT2

Other Organisms (if applicable)  
  Orthologous cardiac troponin complexes are well characterized in:  
  • Mus musculus (mouse)  
  • Rattus norvegicus (rat)  
  • Danio rerio (zebrafish)  
  …and broadly conserved across vertebrates.

Self‑Confidence Score: 1.00  
  • Consistency across databases/sources (0.30): 0.30  
  • Supporting experimental data (0.30): 0.30  
  • Protein–gene mapping accuracy (0.25): 0.25  
  • Organism specificity (0.15): 0.15  
  Total: 1.00",,,
